Dosya,Şirket Adı,Web Sitesi,Eksik Link Sayısı,Eksik Linkler
akgun.json,Akgun,https://www.akgun.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
armada.json,Armada,https://armada.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
arventure.json,Arventure,https://arventure.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
asirdx.json,Asir DX,https://asirdx.com,6,"linkedin, x, instagram, facebook, youtube, github"
asnet.json,AsNet,https://asnet.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
atp.json,ATP,https://atp.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
ayssoft.json,Ayssoft,https://ayssoft.com,6,"linkedin, x, instagram, facebook, youtube, github"
becom.json,Becom,https://becom.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
belbim.json,Belbim İstanbul,https://belbim.istanbul,6,"linkedin, x, instagram, facebook, youtube, github"
berkut.json,Berkut Tech,https://berkut.tech,6,"linkedin, x, instagram, facebook, youtube, github"
besyildiz.json,Beş Yıldız,https://besyildiz.net,6,"linkedin, x, instagram, facebook, youtube, github"
bilgibim.json,Bilgi BIM,https://bilgibim.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
bilgibirikim.json,Bilgi Birikim,https://bilgibirikim.com,6,"linkedin, x, instagram, facebook, youtube, github"
bilgitek.json,Bilgitek,https://bilgitek.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
bilgiturk.json,Bilgi Türk,https://bilgiturk.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
birerp.json,Bir ERP,https://birerp.com,6,"linkedin, x, instagram, facebook, youtube, github"
birikimpilleri.json,Birikim Pilleri,https://birikimpilleri.com,6,"linkedin, x, instagram, facebook, youtube, github"
biscozum.json,Bis Çözüm,https://biscozum.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
bites.json,Bites,https://bites.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
btmteknoloji.json,BTM Teknoloji,https://btmteknoloji.com,6,"linkedin, x, instagram, facebook, youtube, github"
